機種名,規格,廠商,站數,有庫存,最低價,最高價,價差,價差%,最便宜店家,ホームスロット 價格,ホームスロット 連結,A-SLOT 價格,A-SLOT 連結,イニシャルP (FC2) 價格,イニシャルP (FC2) 連結,行情排名,行情價,本週漲跌,上市週數,備註
PA海物語3R2スペシャル 2ch対応,,SANYO,1,是,64000,64000,0,0.0,ホームスロット,64000,https://home-slot.net/SHOP/p-sanyo233.html,,,,,,-,,,
PA真 花の慶次2 漆黒の衝撃 99ver.,,ニューギン,1,是,52600,52600,0,0.0,ホームスロット,52600,https://home-slot.net/SHOP/p-newgin259.html,,,,,,-,,,
P JAWS3 SHARK PANIC~深淵~,,平和,1,否,70300,70300,0,0.0,ホームスロット,70300,https://home-slot.net/SHOP/p-heiwa221.html,,,,,,-,,,
SanThree CRおそ松くんHMA,,,1,否,72900,72900,0,0.0,ホームスロット,72900,https://home-slot.net/SHOP/p-santhree7.html,,,,,,-,,,
SanThree CRおそ松くんYSA,,,1,否,65300,65300,0,0.0,ホームスロット,65300,https://home-slot.net/SHOP/p-santhree8.html,,,,,,-,,,
SanThree CRヤッターマンYMA,,,1,否,71600,71600,0,0.0,ホームスロット,71600,https://home-slot.net/SHOP/p-santhree20.html,,,,,,-,,,
SanThree CR新清流物語YMB,,,1,否,52600,52600,0,0.0,ホームスロット,52600,https://home-slot.net/SHOP/p-santhree13.html,,,,,,-,,,
SanThree CR清流物語3WCB,,,1,否,65300,65300,0,0.0,ホームスロット,65300,https://home-slot.net/SHOP/p-santhree201.html,,,,,,-,,,
SanThree CR無双OROCHI,,,1,否,86000,86000,0,0.0,ホームスロット,86000,https://home-slot.net/SHOP/p-santhree31.html,,,,,,-,,,
SanThree PAヤッターマンVVV,,,1,否,52600,52600,0,0.0,ホームスロット,52600,https://home-slot.net/SHOP/p-santhree208.html,,,,,,-,,,
SanThree ちょいパチ清流物語3,P,,1,否,71600,71600,0,0.0,ホームスロット,71600,https://home-slot.net/SHOP/p-santhree206.html,,,,,,-,,,
ぱちんこAKB48 桜 LIGHT ver.,,京楽,1,是,61400,61400,0,0.0,ホームスロット,61400,https://home-slot.net/SHOP/p-kyoraku217.html,,,,,,-,,,
ぱちんこCR神獣王ライトミドルver.,,Sammy,1,否,61388,61388,0,0.0,ホームスロット,61388,https://home-slot.net/SHOP/p-sammy58.html,,,,,,-,,,
ぱちんこCR聖戦士ダンバインEWNB,,Sammy,1,否,89800,89800,0,0.0,ホームスロット,89800,https://home-slot.net/SHOP/p-sammy73.html,,,,,,-,,,
ぱちんこ 仮面ライダーGO ON LIGHT,,京楽,1,否,52600,52600,0,0.0,ホームスロット,52600,https://home-slot.net/SHOP/p-kyoraku218.html,,,,,,-,,,
アミューズメント ぱちんこG1優駿倶楽部,,KONAMI,1,否,59000,59000,0,0.0,ホームスロット,59000,https://home-slot.net/SHOP/p-konami205.html,,,,,,-,,,
アムテックス CRタコラッシュミニS2,,,1,否,52600,52600,0,0.0,ホームスロット,52600,https://home-slot.net/SHOP/p-amutex1.html,,,,,,-,,,
アムテックス CR綱取物語~横綱7戦全力~,,,1,否,52600,52600,0,0.0,ホームスロット,52600,https://home-slot.net/SHOP/p-amutex200.html,,,,,,-,,,
アムテックス ポチッと一発!おだてブタ2,P,,1,是,623200,623200,0,0.0,ホームスロット,623200,https://home-slot.net/SHOP/p-amutex239.html,,,,,,-,,,
エース電研 CRイタズラなKiss KRX+,,,1,否,43988,43988,0,0.0,ホームスロット,43988,https://home-slot.net/SHOP/p-ace22.html,,,,,,-,,,
エース電研 CR上へまいりま~す4 SR4V,,,1,否,65300,65300,0,0.0,ホームスロット,65300,https://home-slot.net/SHOP/p-ace31.html,,,,,,-,,,
エマ めんそーれ30 2004年 雷電パネル,4号機,,1,否,135000,135000,0,0.0,A-SLOT,,,135000,https://www.a-slot.com/SHOP/ema2.html,,,,-,,,
オーイズミ ドリームクルーンULTIMATE,P,,1,否,59000,59000,0,0.0,ホームスロット,59000,https://home-slot.net/SHOP/p-oizumi200.html,,,,,,-,,,
オーイズミ ラストエグザイル 銀翼のファム,,,1,否,41500,41500,0,0.0,ホームスロット,41500,https://home-slot.net/SHOP/s-oizumi27.html,,,,,,-,,,
サンセイ CRA衝撃ゴウライガンRR Y,,,1,否,52600,52600,0,0.0,ホームスロット,52600,https://home-slot.net/SHOP/p-SANSEI81.html,,,,,,-,,,
サンセイ CRファナティックバトルSK,,,1,否,39084,39084,0,0.0,ホームスロット,39084,https://home-slot.net/SHOP/p-SANSEI20.html,,,,,,-,,,
サンセイ CR戦国双天絵巻~華恋姫伝~MH,,,1,否,40844,40844,0,0.0,ホームスロット,40844,https://home-slot.net/SHOP/p-SANSEI13.html,,,,,,-,,,
サンセイ CR牙狼GOLDSTORM翔,,,1,是,91000,91000,0,0.0,ホームスロット,91000,https://home-slot.net/SHOP/p-SANSEI98.html,,,,,,-,,,
サンセイ CR金田一少年の事件簿K GG,,,1,否,56297,56297,0,0.0,ホームスロット,56297,https://home-slot.net/SHOP/p-SANSEI59.html,,,,,,-,,,
サンセイ PAキャプテン翼 石崎バージョン,,,1,否,92400,92400,0,0.0,ホームスロット,92400,https://home-slot.net/SHOP/p-SANSEI226.html,,,,,,-,,,
サンセイ PAキャプテン翼 雷獣バージョン,,,1,否,92400,92400,0,0.0,ホームスロット,92400,https://home-slot.net/SHOP/p-SANSEI209.html,,,,,,-,,,
サンセイ ようこそ実力至上主義の教室へ,スマパチ,,1,是,196300,196300,0,0.0,ホームスロット,196300,https://home-slot.net/SHOP/p-sansei264.html,,,,,,-,,,
ジェイビー CRパッションモンスターHZJ,,,1,否,52600,52600,0,0.0,ホームスロット,52600,https://home-slot.net/SHOP/p-jb8.html,,,,,,-,,,
ジェイビー CRパトラッシュJ GREEN,,,1,否,52600,52600,0,0.0,ホームスロット,52600,https://home-slot.net/SHOP/p-jb17.html,,,,,,-,,,
ジャンキージャグラー パネル不問 2ch対応,,北電子,1,是,108500,108500,0,0.0,A-SLOT,,,108500,https://www.a-slot.com/SHOP/kitadensi12.html,,,,-,,,
スーパー海物語 IN JAPAN2 2ch対応,P,SANYO,1,否,57600,57600,0,0.0,ホームスロット,57600,https://home-slot.net/SHOP/p-sanyo206.html,,,,,,-,,,
タイヨーエレック CRAひかる源氏 MTX,,,1,否,43463,43463,0,0.0,ホームスロット,43463,https://home-slot.net/SHOP/p-taiyo22.html,,,,,,-,,,
タイヨーエレック CRハムナプトラ KSZ,,,1,否,59000,59000,0,0.0,ホームスロット,59000,https://home-slot.net/SHOP/p-taiyo4.html,,,,,,-,,,
タイヨーエレック CR兎 野性の闘牌 LSX,,,1,否,52600,52600,0,0.0,ホームスロット,52600,https://home-slot.net/SHOP/p-taiyo31.html,,,,,,-,,,
タイヨーエレック CR兎 野性の闘牌 MSZ,,,1,否,66600,66600,0,0.0,ホームスロット,66600,https://home-slot.net/SHOP/p-taiyo32.html,,,,,,-,,,
タイヨーエレック 北斗の拳 無想転生パネル,スマスロ,,1,否,64100,64100,0,0.0,ホームスロット,64100,https://home-slot.net/SHOP/s-taiyo_elec207.html,,,,,,-,,,
ターミネーター2~連撃FULL AUTO VER.~,P,平和,1,是,59000,59000,0,0.0,ホームスロット,59000,https://home-slot.net/SHOP/p-heiwa209.html,,,,,,-,,,
デジハネCRハクション大魔王4STK,,Sammy,1,否,52600,52600,0,0.0,ホームスロット,52600,https://home-slot.net/SHOP/p-sammy71.html,,,,,,-,,,
